text,createdAt,author/userName,author/followers,url,likeCount,replyCount,retweetCount,quoteCount,bookmarkCount,viewCount,source
"¡Partidazo en Avellaneda! Mirá en vivo, desde las 19.45 y por @TNTSportsAR, el duelo entre @Independiente y @Velez por la #Fecha3 del #TorneoMercadoLibre 2026 🏆. Relata @giraltpablo y comenta Fernando Pacini.

Suscribite al Pack Fútbol: https://t.co/xmdXqSztFs

👉 @ML_Argentina https://t.co/wVTtomQbsf",2026-01-31 20:45:00+00:00,LigaAFA,1189704,https://x.com/LigaAFA/status/2017700665016127578,9,1,0,0,0,2579.0,TweetDeck Web App
"Está en súper descuento la  hidrolavadora en @ML_Argentina  y te hace el trabajo más fácil y rápido.

Lavas es auto, limpias paredes, sacas suciedad de los muebles de jardín, sacas el verdín de la pileta. Todooo más fácil 

✅Hidrolavadora Electrica Trent HLT307 1400W Alta presion 1600 Psi 110 Bar con Accesorios

https://t.co/11ZiUSO6K4

45% de descuento
9 Cuotas de 12.000",2026-01-31 20:43:46+00:00,Silnari,134488,https://x.com/Silnari/status/2017700356730589454,3,0,0,0,1,2002.0,Twitter for iPhone
Me convencí de comprar un Luminox Pampa Negro (@LumilagroArg). La competencia funciona! Llega el lunes con @ML_Argentina,2026-01-31 13:34:08+00:00,dievalen,66347,https://x.com/dievalen/status/2017592234846118296,313,12,42,2,10,20780.0,Twitter for iPhone
"Popin con Jean Meneses, Liga de Primera Mercado libre 2026 https://t.co/w3sAs4GlFd",2026-01-31 15:28:03+00:00,Mike_N10,919,https://x.com/Mike_N10/status/2017620901177544992,17,0,1,0,1,881.0,Twitter for Android
"IMPORTANTE: uno de mis nietos hizo inclusive publicidad, contratado por Puma para Paraguay y adora la marca y por eso inclusive más rabia da. 
Dejan el mercado libre para que ilegales aprovechen y
Después lloran . 
Adjunto publicidad. Como le explico que no es original y la original no saben cuándo va a haber????",2026-01-31 16:32:25+00:00,Hugobie,64761,https://x.com/Hugobie/status/2017637103224426595,17,1,2,0,0,3084.0,Twitter for iPhone
"Buen partido de Deportes Limache frente a Colo Colo por la fecha 1 de la Liga de Primera Mercado Libre. El equipo, que será rival de Ñublense en la fecha 2, ocupó un esquema de 1-3-4-3 donde fue titular un ex-ñublensino, el 🇦🇷 Gonzalo Sosa. https://t.co/ezlaMb6TvN",2026-01-31 17:24:17+00:00,DanielVas98,22,https://x.com/DanielVas98/status/2017650151939088745,2,1,0,0,0,75.0,Twitter for Android
"Checa nuestros Parches Bordados. El envío es gratis por nuestros links de Shein y Mercado Libre. San Jerónimo 97-local 5, Centro Histórico, CDMX, 06090 https://t.co/CTvshsTA2W",2026-01-31 19:49:45+00:00,PeleteriaLeonMX,1284,https://x.com/PeleteriaLeonMX/status/2017686763536318672,2,0,0,0,0,23.0,Twitter Web App
"📝 Los convocados por Marcelo Gallardo para viajar a Rosario y visitar a Central por la fecha 3 del #TorneoApertura Mercado Libre 2026 💪⚽

#VamosRiver 🤍❤️🤍 https://t.co/GU738sQAgQ",2026-01-31 17:02:20+00:00,RiverPlate,6131728,https://x.com/RiverPlate/status/2017644628367872040,2648,101,115,38,21,88857.0,Twitter for iPhone
"⚒️ ¡𝐗𝐈 𝐋𝐄𝐆𝐈𝐎𝐍𝐀𝐑𝐈𝐎! 🔥⚽️

📋 Revisa la primera formación de Cobresal ⚪️🟠 para la Liga de Primera Mercado Libre 👊🏻.

#LegiónMinera👷🏻‍♂️👷🏻🇮🇪 https://t.co/LjYF9MDbOq",2026-01-31 20:06:50+00:00,ClubDepCobresal,28420,https://x.com/ClubDepCobresal/status/2017691060399480977,5,1,2,1,0,387.0,Twitter for iPhone
"https://t.co/nRCOXro6nw
Cupón extra para usar en mercado libre, válido para todos los usuarios pagando con dinero en cuenta 

#mercadolibre #cupon https://t.co/fXzA6cuAbg",2026-01-31 14:23:14+00:00,tbdescuentos,4438,https://x.com/tbdescuentos/status/2017604591261450632,6,0,0,0,4,2184.0,Twitter for iPhone
