text,createdAt,author/userName,author/followers,url,likeCount,replyCount,retweetCount,quoteCount,bookmarkCount,viewCount,source
Ya se que soy muy bautista pero QUÉ APELLIDO!!! Parece que le dieron un cabezazo al teclado cuando lo anotaron.,2026-03-12 12:40:27+00:00,cerramelamil,2091,https://x.com/cerramelamil/status/2032074238853595396,3,1,0,0,0,140.0,Twitter for Android
"@lesursaut_fr Oui j’aime bcp ces deux là également, faut que je me plonge un peu plus dans Mercadolibre 🇦🇷",2026-03-12 12:26:50+00:00,PetitRentier,6629,https://x.com/PetitRentier/status/2032070814795747600,2,0,0,0,0,1219.0,Twitter for iPhone
"$MELI is one of the greatest companies / compounders ever created... did you know it's the only publicly traded company to ever grow 30% YoY (or better) for 28+ straight quarters (screenshot below).

Not only is $MELI down -37% from the highs (July 2025) but this is also the cheapest the stock has been in 10+ years whether you're looking at NTM ev/ebitda or NTM EPS (P/E).

$MELI is now trading at less than 17x NTM ev/ebitda with ebitda expected to grow at a 30% CAGR for the next 3-4 years. 

$MELI is now trading at less than 30x NTM EPS with EPS expected to grow at a 38% CAGR for the next 3-4 years. 

NFA.
DYOR.

* We do own $MELI at @FirstWaveFund, it's a top 15 position after the adds today.",2026-03-12 14:22:53+00:00,JonahLupton,552662,https://x.com/JonahLupton/status/2032100016911712586,233,19,21,3,86,62028.0,Twitter Web App
"Hoy le enseñé a un tipo a usar Mercadolibre (sí, pleno 2026). 

Lo guié paso a paso para comprar un extensor de señal para su modem y al tipo le aparecía más barato que a mi que ya debo tener 3.000 compras. 

El que les vendió esa pelotudez de los precios variables es un hijo de puta.",2026-03-12 02:41:52+00:00,elmauro1,16509,https://x.com/elmauro1/status/2031923600966484460,1069,37,23,4,57,77706.0,Twitter for iPhone
"🔍 Pega este texto en el buscador de Mercado Libre: 6LAP5N-RCJ4

🔗 O ingresa al link:
https://t.co/uhdfeI5DKV",2026-03-12 17:11:30+00:00,Nico_guzman23,8,https://x.com/Nico_guzman23/status/2032142450643419507,1,0,0,0,0,7.0,Twitter for Android
I opened a 2% position in $MELI today.  Didn't think I'd get a chance at this valuation again but here it is....,2026-03-12 22:33:04+00:00,KyleReedTrader,864,https://x.com/KyleReedTrader/status/2032223377406992389,1,0,0,0,0,74.0,Twitter for iPhone
me llegó una notificación de MercadoLibre con el sonido de una voz que dice MercadoLibre qué es esta cosa invasiva por favor,2026-03-12 00:05:05+00:00,micccv_,3190,https://x.com/micccv_/status/2031884143932416295,0,1,0,0,0,103.0,Twitter for iPhone
"アメリカで開催中の「Argentina Week」で行われた投資発表。

$MELI メルカド・リブレー＞34億ドル
※数日前に中国に初のフルフィルメントセンターを開設済み。
$RIO Rio Tinto ー＞25億ドル
$FM First Quantum Minerals (Taca Taca)ー＞52億5000万ドル
$TGS (バカムエルタ鉱区・天然ガス)ー＞30億ドル
$YPF $E YPF, ENI, ADNOC (LNG) 300億ドル
Continental Resources (バカムエルタ鉱区・原油)ー＞年に1-2億。
$VIST Vista Energy 11億ドル

まだまだ話があると関係者が言っている。

RIGI（大型投資奨励制度）の中小企業バージョンRIMIも始まれば、小さな投資が次々とやってきそうだね。

アルゼンチンの強いところは、何もないところから正常化しなければならないこと。

その目の前の道には成長しかない。

アルゼンチン国民もこれに気付くべきだ。",2026-03-12 15:00:27+00:00,mileinihongo,2633,https://x.com/mileinihongo/status/2032109472077005240,7,1,1,0,0,593.0,Twitter Web App
El día que tenga un trabajo estable (ojala pronto) me tendré que mantener lejos del genshin y las tiendas como shein y mercado libre https://t.co/3ls1WEcDM6,2026-03-12 21:17:01+00:00,dainscat,1272,https://x.com/dainscat/status/2032204239162819014,17,5,1,0,0,152.0,Twitter for Android
Added to $meli at 1643,2026-03-12 19:29:04+00:00,davey_juice,7098,https://x.com/davey_juice/status/2032177071405904307,14,1,0,0,1,922.0,Twitter for Android
"""If all you ever did was buy high quality stocks on the 200-week moving average, you would beat the $SPY by a large margin over time."" - Charlie Munger

$MELI is now getting very close to this level I pointed out a couple weeks back at the 200 weekly MA. 

$MELI now trades at 31x NTM PE for an estimated 42% growth in FY26 putting the PEG around 0.73x. 

Worth a watch here for some signs of strength as we approach the 200 weekly.",2026-03-12 19:14:22+00:00,MMMTwealth,64569,https://x.com/MMMTwealth/status/2032173370574291081,52,2,2,0,17,8426.0,Twitter Web App
"En el marco de Argentina Week, Mercado Libre anunció que invertirá US$ 3.400 millones y sumará 1900 nuevos empleos en Argentina durante 2026 para ""consolidar la presencia de la empresa"" en el país y ""sostener su crecimiento a largo plazo"".

https://t.co/RQppoDghgB",2026-03-12 19:05:25+00:00,somoscorta,116609,https://x.com/somoscorta/status/2032171118618947770,3,1,1,0,0,1286.0,Twitter Web App
