text,createdAt,author/userName,author/followers,url,likeCount,replyCount,retweetCount,quoteCount,bookmarkCount,viewCount,source
"No importa la hora, siempre haciendo el aguante a @francolapinto 💛🏁 https://t.co/qVEGBqml2f",2025-11-22 21:12:52+00:00,ML_Argentina,114912,https://x.com/ML_Argentina/status/1992340529359769700,537,12,61,5,4,10715.0,Twitter for iPhone
"3 empanadas
Fuente: iProfesional
 https://t.co/AL5DN9NdsY",2025-11-22 21:13:10+00:00,afstw,46,https://x.com/afstw/status/1992340605889061303,0,0,0,0,0,2.0,Twitter for Android
"aaaand that’s a wraaaap! 🤘🔥
the final just ended: 3–2 and a win for Mercado Libre!
such a crazy, tight match… UBA Boys FC gave everything, but Mercado Libre took it this time.
huge congrats to both teams, and thank you for coming to enjoy IT Rock & Gol with us at Devconnect! ⚽️💛✨
#Devconnect #DevconnectARG #Ethereum #ETHBuenosAires #CryptoFootball #BlockchainVibes #ITRockDigital @EFDevcon @ML_Argentina",2025-11-22 20:44:48+00:00,ITRockDigital,367,https://x.com/ITRockDigital/status/1992333462997504055,1,0,0,0,0,50.0,Twitter Web App
"aaand the final just kicked off! 🤘🔥
Mercado Libre vs UBA Boys FC!
and Mercado Libre already scored, 1–0!
we’re starting this with ""a lo argentino"" levels of passion.
last match of the tournament… LFGGGG! ⚽️💥

#Devconnect #DevconnectARG #Ethereum #ETHCommunity #CryptoFootball #BlockchainVibes #ITRockDigital @EFDevcon @Mercadolibre",2025-11-22 20:04:22+00:00,ITRockDigital,367,https://x.com/ITRockDigital/status/1992323288861704341,0,0,0,0,0,48.0,Twitter Web App
"Chicos les comparto que ademas de la venta en facebook tambien ya estamos en MERCADO LIBRE !!!

Aqui pueden acceder a las publicaciones que tenemos y nuestras redes sociales
MERCADO LIBRE: https://t.co/Sugbr8B3u2
REDES SOCIALES: https://t.co/hxXG9REbeS https://t.co/uLZCrvUIPN",2025-11-22 22:44:40+00:00,jafcompu,7,https://x.com/jafcompu/status/1992363629480727000,3,3,2,0,0,7.0,Twitter for Android
"Federalismo
Libre Mercado
Libre Expresión
Común Defensa
Derecho a la Propiedad y Capital Privado
Ciudadania,Pasaporte
Seguridad y Protección
The Persuit of Happiness
Ayudas para menos afortunados
y tantas cosas que son sinónimos de

#Estadidad🇺🇸🇵🇷 la @FuerzaDPueblo @delegates51 https://t.co/iVjUlWqfFz",2025-11-22 12:53:22+00:00,barricada_azul1,19438,https://x.com/barricada_azul1/status/1992214824483238232,4,1,3,0,0,104.0,Twitter Web App
"aaand we’re liveeee! 🤘🔥
first semifinal is on: Mercado Libre vs International —
they’re going ALL in on the field already! ⚽️💥

#Devconnect #DevconnectARG #Ethereum #ETHBuenosAires #CryptoFootball #BlockchainVibes #ITRockDigital https://t.co/vfDbYwARCS",2025-11-22 18:56:42+00:00,ITRockDigital,367,https://x.com/ITRockDigital/status/1992306259249537254,0,0,0,0,0,46.0,Twitter Web App
Me cancelaram um mês atrás e eu nem percebi Da Silva https://t.co/VIbpVTlUi3,2025-11-22 17:25:57+00:00,men543210,402,https://x.com/men543210/status/1992283420991332477,10,0,0,1,0,110.0,Twitter Web App
"Mercado Libre me vende el dólar más caro, no me aumenta el límite de crédito y no me da la tarjeta de crédito para comprar a 3 cuotas en todo mercado libre pero me recomienda autos de 150.000 dólares. https://t.co/uED1HeQhHp",2025-11-22 02:09:06+00:00,IWantToGetOut21,139,https://x.com/IWantToGetOut21/status/1992052688222081284,8,2,0,0,0,197.0,Twitter Web App
@Melissa_Bely Adquiera su libro en mercado libre https://t.co/DgtVW6wzyU,2025-11-22 18:08:08+00:00,benjami10582172,8,https://x.com/benjami10582172/status/1992294040205697335,2,1,0,0,0,166.0,Twitter for Android
Cuánto daño le ha hecho Mercado Libre a muchos negocios. :( Qué rechingue a su madre la gente pioja y miserable.,2025-11-22 15:31:27+00:00,Tsupapi,7954,https://x.com/Tsupapi/status/1992254609549881562,0,0,0,0,0,52.0,Twitter for iPhone
"Mercado Libre: Jade Cook Smart 2 Baterías - Mango Desmontable - Cv Directo Color Verde jade

👉Compra aquí: https://t.co/wh3n7i75Jz

✅Cupón de 10%, mínimo de compra $1,500: FINDESEM

🔥Precio Oferta + Cupón: $2,299

⚡️Unete a nuestros otros grupos:
https://t.co/hDwlFEz4oK

#Of… https://t.co/btVs8WYMyZ",2025-11-22 18:20:55+00:00,OfertonesMex,5816,https://x.com/OfertonesMex/status/1992297254816710680,0,0,0,0,0,234.0,IFTTT
"Alguien tiene un cupón de mercado libre que no vaya usar y me lo quiera obsequiar?👉👈

Para compra mínima de 2mil",2025-11-22 22:14:08+00:00,Mexi_Tuipo,1408,https://x.com/Mexi_Tuipo/status/1992355945314468131,1,0,0,0,0,52.0,Twitter for Android
Me siento como cott pilgrim esperando mi pedido de mercado libre https://t.co/YGqdz50dPE,2025-11-22 18:01:22+00:00,empanadaloveer,2868,https://x.com/empanadaloveer/status/1992292337637036533,0,0,0,0,0,20.0,Twitter for Android
"🤝 Leggings Deportivos Reebok (Varias tallas en oferta‼️), en Mercado Libre

🔗 https://t.co/HEceobZVlE

💲 Precio en oferta: $550

↩️ Antes: $999

🏷️ Ahorras: $449 (44%) https://t.co/f6s4D0bu43",2025-11-22 20:20:20+00:00,EspiaDeOfertasM,302,https://x.com/EspiaDeOfertasM/status/1992327308347068871,0,0,0,0,0,14.0,Buffer
https://t.co/KYGxAu6XD6,2025-11-22 20:42:45+00:00,men543210,402,https://x.com/men543210/status/1992332948482466017,1,0,0,0,0,34.0,Twitter Web App
"🏷️ Oferta: Edens Zero Day One Edition para Xbox Series X, en Mercado Libre

🔗 https://t.co/6znKuSUeTe

💲 Precio en oferta: $999

↩️ Antes: $1,399

🤑 Ahorras: $400 (29%) https://t.co/wNOASYBnsg",2025-11-22 21:35:41+00:00,GamerHUB_vg,530,https://x.com/GamerHUB_vg/status/1992346268438237508,1,0,0,0,0,32.0,Buffer
@Sirius_Mikaely @Ethanol_alt https://t.co/LR1Llkp4NE,2025-11-22 18:19:37+00:00,men543210,402,https://x.com/men543210/status/1992296927115800656,2,0,0,0,0,22.0,Twitter Web App
Sulista menos viado: https://t.co/5Cye0rPmzG,2025-11-22 15:59:06+00:00,men543210,402,https://x.com/men543210/status/1992261564376969573,4,2,0,1,0,439.0,Twitter Web App
MERCADO LIBRE https://t.co/SwnUg5ZNND,2025-11-22 00:32:11+00:00,TaroQTM,1024,https://x.com/TaroQTM/status/1992028298109427749,6,4,1,0,0,395.0,Twitter Web App
"SPE Argentine Petroleum Section - SPE Bolivia Section - Technical Conference

🔹Charla: ""LUZ, CAMARA y ACCION - IA y ML para HSE y Operaciones Críticas en Oil &amp; Gas y otras industrias ""

📣 Disertante: Fabio David Chiarandini 
(Field &amp; Reservoir Engineering Manager) https://t.co/WOe9MvABlz",2025-11-22 01:34:54+00:00,SPEargentina,6,https://x.com/SPEargentina/status/1992044081950998551,0,1,0,0,0,18.0,Twitter Web App
@Ine81Ok @ML_Argentina @mercadopago con un excelente nivel crediticio con años de uso a full todavia esperando.. casi 5 dia para revisar un pedido @mercadopago ???😡😡🙏🙏 https://t.co/4CLwPDOERM,2025-11-22 14:37:32+00:00,EmiLio3112,33,https://x.com/EmiLio3112/status/1992241039953007076,0,0,0,0,0,23.0,Twitter Web App
"Esgrima.ivan es para apoyar a mi vecino de la plata que es campeón argentino de esgrima y necesita apoyo para seguir compitiendo. Se qie entre todos vamos a llegar 
@ML_Argentina 
@Sancor @Sancor_Salud  @porqueTTarg  @EmpresasAR https://t.co/lEk2Q9cAlS",2025-11-22 17:37:48+00:00,lulyromero78,544,https://x.com/lulyromero78/status/1992286405439946773,0,0,0,0,0,3.0,Twitter for Android
"@porquetendencia @TovigginoPablo campaña para que haya una baja masiva de suscripciones de pack futbol, boicot a las marcas que patrocinan el fútbol
@marcos_galperin vos vas a avalar esto con la publicidad de @ML_Argentina ?  
@SC_ESPN @FOXSportsArg",2025-11-22 02:56:40+00:00,patrig_gomez,194,https://x.com/patrig_gomez/status/1992064661500666092,16,0,0,0,0,1281.0,Twitter for Android
"Tsarukyan Hooker + 2.5 Rounds ✅
Tsarukyan ML
Garry ML
Topuria ML

La combinada del grupo para seguir llenando el chanchito como en UFC 322 💰🔥 

Toda la info en el grupo de WhatsApp https://t.co/Or1VqyxeNu https://t.co/FnmaGjh5kW",2025-11-22 00:28:37+00:00,BarbaHarden79,7,https://x.com/BarbaHarden79/status/1992027404064510448,0,0,2,0,0,200.0,Twitter for iPhone
"vieron la publicidad que te mete la verga de @ML_Argentina cuando entras que dice ENVIOS GRATIS DESDE $15.000.- es la estafa más abierta y directa que ví en mucho tiempo, lindo meterle una denuncia a estos forros no 🤔",2025-11-22 14:26:19+00:00,VIvoenunagrieta,443,https://x.com/VIvoenunagrieta/status/1992238218650255629,0,0,0,1,0,53.0,Twitter for Android
@ML_Argentina @FranColapinto Todos juntos! #siempreconel43 🇦🇷💙🏆👏🏻🔝,2025-11-22 21:28:40+00:00,GabiStolle,67,https://x.com/GabiStolle/status/1992344505740378449,2,0,0,0,0,71.0,Twitter for Android
@ML_Argentina un desastre el pedido que le hice en su super.. un montón de cosas rotas y todo aplastado. Me siento defraudado,2025-11-22 00:52:52+00:00,siempre_pepsi,42,https://x.com/siempre_pepsi/status/1992033507158167789,0,0,0,0,0,5.0,Twitter for Android
